"countryorarea","region","lnrchange","lncaseload_lastobs","lnexpo","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty","lnhiv","lnasthma","lntraffic","nrows"
"Germany","Western Europe",0.0480674616992474,11.1817512512207,4.1588830947876,-0.0833815932273865,-0.261364787817001,2.70805025100708,0.760805904865265,4.51085948944092,4.53259944915771,4.72312831878662,15.1409883499146,18.5141372680664,1
"Ghana","Western Sub-Saharan Africa",0.306770324707031,5.08140420913696,2.83321332931519,-0.63487833738327,-0.579818487167358,0.6931471824646,1.48387467861176,3.85014748573303,3.71357202529907,7.07525205612183,13.5704698562622,13.0550222396851,1001
"Greece","Western Europe",0.363246589899063,7.18083143234253,3.52636051177979,-0.174353420734406,-0.235722303390503,2.7725887298584,1.22082996368408,4.44803349614143,4.51085948944092,3.63101649284363,13.1813898086548,16.5319213867188,1001
"Greenland","High-income North America",NA,NA,0,-0.24846139550209,-0.24846139550209,1.60943794250488,1.44041413614154,4.20169754862785,4.23410654067993,5.66361904144287,8.07557010650635,NA,1001
"Grenada","Caribbean",0.0359020605683327,2.19722461700439,2.19722461700439,-0.24846139550209,-1.02165114879608,2.30258512496948,0.892624355786347,3.99849704527855,4.07753753662109,4.16836547851562,8.9569787979126,NA,1001
"Guam","Oceania",NA,NA,0,-0.105360545217991,-0.0512933060526848,1.60943794250488,1.3686876116544,4.24421793913841,4.21950769424438,3.58265089988708,9.74302864074707,NA,1001
"Guatemala","Central Latin America",0.121042549610138,3.63758611679077,2.83321332931519,-0.562118947505951,-0.673344552516937,1.0986123085022,1.62531125545502,4.12713432312012,3.95124363899231,5.36485147476196,13.2897138595581,11.8899564743042,1
"Guinea","Western Sub-Saharan Africa",0.198042050004005,3.09104251861572,2.89037179946899,-1.23787438869476,-1.04982209205627,0.6931471824646,1.89009535312653,4.00733327865601,3.29583692550659,7.06491994857788,13.0640506744385,NA,812
"Guinea-Bissau","Western Sub-Saharan Africa",0,2.0794415473938,1.7917594909668,-1.17118299007416,-0.843970060348511,0,1.78707725000381,3.68887948989868,3.178053855896,7.82820558547974,10.9942464828491,NA,1001
"Guyana","Caribbean",-0.0480674616992474,2.4849066734314,2.94443893432617,-0.400477528572083,-1.30933332443237,1.0986123085022,1.42551505565643,3.88937942349911,3.93182563781738,7.12335729598999,10.8641128540039,10.1685018539429,1001
