"","Est","Var","Country","Date","Exposure","Upper","Lower"
"621",7.27276926660738,0.153133060474781,"Malawi",2020-06-16,76,7.57903538755694,6.96650314565782
"622",7.37991472371546,0.155135772025487,"Malawi",2020-06-17,77,7.69018626776644,7.06964317966449
"623",7.49192842032645,0.155675017311279,"Malawi",2020-06-18,78,7.80327845494901,7.18057838570389
"624",7.60103093658613,0.160054261167797,"Malawi",2020-06-19,79,7.92113945892172,7.28092241425054
"625",7.7087280532094,0.161455295274976,"Malawi",2020-06-20,80,8.03163864375935,7.38581746265944
"626",7.81809305828044,0.167561688210598,"Malawi",2020-06-21,81,8.15321643470164,7.48296968185925
"627",7.93235110302701,0.167768189758626,"Malawi",2020-06-22,82,8.26788748254426,7.59681472350976
"628",8.03632395998821,0.173112047078463,"Malawi",2020-06-23,83,8.38254805414513,7.69009986583128
"629",8.145726598437,0.178005433627753,"Malawi",2020-06-24,84,8.50173746569251,7.7897157311815
"630",8.25771377556148,0.180783287304349,"Malawi",2020-06-25,85,8.61928035017018,7.89614720095279
"631",8.36586342048618,0.1831743306697,"Malawi",2020-06-26,86,8.73221208182558,7.99951475914678
"632",7.32969877484013,0.12933575091163,"Mali",2020-06-06,74,7.58837027666339,7.07102727301687
"633",7.35924812429288,0.133777085845555,"Mali",2020-06-07,75,7.62680229598399,7.09169395260177
"634",7.39624260799517,0.135015052302368,"Mali",2020-06-08,76,7.66627271259991,7.12621250339043
"635",7.42107510241276,0.13623480330209,"Mali",2020-06-09,77,7.69354470901694,7.14860549580858
"636",7.44806887146706,0.138689632915182,"Mali",2020-06-10,78,7.72544813729743,7.1706896056367
"637",7.4765460728425,0.137427891838178,"Mali",2020-06-11,79,7.75140185651885,7.20169028916614
"638",7.51162620856232,0.144657666735029,"Mali",2020-06-12,80,7.80094154203238,7.22231087509226
"639",7.53865628353094,0.14650273520436,"Mali",2020-06-13,81,7.83166175393966,7.24565081312222
"640",7.56615300088218,0.143580076069087,"Mali",2020-06-14,82,7.85331315302036,7.27899284874401
"641",7.60200636651613,0.148629085525963,"Mali",2020-06-15,83,7.89926453756806,7.3047481954642
"642",7.62940913067481,0.151372408333686,"Mali",2020-06-16,84,7.93215394734218,7.32666431400743
"643",7.65561452596978,0.153847092809696,"Mali",2020-06-17,85,7.96330871158917,7.34792034035039
"644",7.68981165681793,0.158637135056743,"Mali",2020-06-18,86,8.00708592693142,7.37253738670445
"645",7.71704711546343,0.161615754123474,"Mali",2020-06-19,87,8.04027862371038,7.39381560721648
"646",7.74487131982013,0.162122313556307,"Mali",2020-06-20,88,8.06911594693274,7.42062669270751
"647",7.77905476061316,0.16578993146759,"Mali",2020-06-21,89,8.11063462354834,7.44747489767798
"648",7.80544050917393,0.168480854492609,"Mali",2020-06-22,90,8.14240221815915,7.46847880018872
"649",7.83751731306857,0.172392789474444,"Mali",2020-06-23,91,8.18230289201746,7.49273173411969
"650",7.86394548236607,0.17756916876786,"Mali",2020-06-24,92,8.21908381990179,7.50880714483035
"651",7.89282137387067,0.17886855508598,"Mali",2020-06-25,93,8.25055848404263,7.53508426369871
"652",7.92184001800052,0.180618170618976,"Mali",2020-06-26,94,8.28307635923847,7.56060367676257
"653",7.05371932799232,0.128700538038096,"Mauritania",2020-06-06,85,7.31112040406852,6.79631825191613
"654",7.18310144091515,0.134003352267878,"Mauritania",2020-06-07,86,7.45110814545091,6.91509473637939
"655",7.31762876767235,0.13361810502719,"Mauritania",2020-06-08,87,7.58486497772673,7.05039255761797
"656",7.45043515567271,0.135981416350883,"Mauritania",2020-06-09,88,7.72239798837448,7.17847232297095
"657",7.58024479013385,0.137281195434633,"Mauritania",2020-06-10,89,7.85480718100311,7.30568239926458
"658",7.71692670984741,0.140586587670193,"Mauritania",2020-06-11,90,7.9980998851878,7.43575353450703
"659",7.84594628623476,0.140350715383727,"Mauritania",2020-06-12,91,8.12664771700221,7.56524485546731
"660",7.97938140387386,0.14199939372467,"Mauritania",2020-06-13,92,8.2633801913232,7.69538261642452
"661",8.11060357269343,0.147050061171871,"Mauritania",2020-06-14,93,8.40470369503717,7.81650345034969
"662",8.24338865995984,0.150486852649081,"Mauritania",2020-06-15,94,8.544362365258,7.94241495466168
"663",8.37762987698718,0.15029159266069,"Mauritania",2020-06-16,95,8.67821306230856,8.07704669166579
"664",8.50548963552701,0.152620309845077,"Mauritania",2020-06-17,96,8.81073025521717,8.20024901583686
"665",8.63763196746155,0.156911618305569,"Mauritania",2020-06-18,97,8.95145520407269,8.32380873085042
"666",8.7735075030381,0.158633714093252,"Mauritania",2020-06-19,98,9.09077493122461,8.4562400748516
"667",8.90592800572426,0.164484606957206,"Mauritania",2020-06-20,99,9.23489721963868,8.57695879180985
"668",9.03888940493707,0.16370777848979,"Mauritania",2020-06-21,100,9.36630496191665,8.71147384795749
