"Country_Region","Confirmed","Deaths","Recovered","Date","New Cases","New Deaths","New Recoveries","DaysSince","Exposure","prediction","Day","upper","lower"
"Congo (Kinshasa)",572,31,73,2020-04-30,81,1,14,30,51,2350.40578144887,30,11299.3301230924,488.914588500966
"Cote d'Ivoire",1275,14,574,2020-04-30,37,0,17,30,51,2133.93675327464,30,10761.3434998421,423.152189784025
"Eswatini",100,1,12,2020-04-30,9,0,2,30,48,661.821222121618,30,3435.17676940017,127.506489317298
"Sao Tome and Principe",14,0,4,2020-04-30,6,0,0,30,25,NA,30,NA,NA
"Congo (Brazzaville)",229,9,25,2020-05-01,9,0,6,31,48,56.4445688789004,31,263.710665674166,12.0813822519468
"Congo (Kinshasa)",604,32,75,2020-05-01,32,1,2,31,52,2431.04328558847,31,11693.9142343369,505.388643868389
"Cote d'Ivoire",1333,15,597,2020-05-01,58,1,23,31,52,2207.14765801881,31,11137.1405705025,437.410370593729
"Eswatini",106,1,12,2020-05-01,6,0,0,31,49,685.986950453388,31,3562.85274305854,132.079019294064
"Sao Tome and Principe",16,1,4,2020-05-01,2,1,0,31,26,NA,31,NA,NA
"Congo (Brazzaville)",229,9,25,2020-05-02,0,0,0,32,49,58.5055848464274,32,273.512058148365,12.5146345700261
"Congo (Kinshasa)",674,33,75,2020-05-02,70,1,0,32,53,2512.80076489407,32,12094.213547189,522.081709522966
"Cote d'Ivoire",1362,15,622,2020-05-02,29,0,25,32,53,2281.37538980978,32,11518.3807291158,451.858103289946
"Eswatini",108,1,12,2020-05-02,2,0,0,32,50,710.509450272333,32,3692.49446553378,136.716164001972
"Sao Tome and Principe",16,1,4,2020-05-02,0,0,0,32,27,NA,32,NA,NA
"Congo (Brazzaville)",229,9,25,2020-05-03,0,0,0,33,50,60.5970286875109,33,283.464356661948,12.954009205941
"Congo (Kinshasa)",674,33,75,2020-05-03,0,0,0,33,54,2595.67178777888,33,12500.1985447057,538.992401262681
"Cote d'Ivoire",1398,17,653,2020-05-03,36,2,31,33,54,2356.61410940072,33,11905.0358641075,466.494189855419
"Eswatini",112,1,12,2020-05-03,4,0,0,33,51,735.386546402785,33,3824.09115803649,141.417489876965
"Sao Tome and Principe",16,1,4,2020-05-03,0,0,0,33,28,NA,33,NA,NA
"Congo (Brazzaville)",236,10,26,2020-05-04,7,1,1,34,51,62.718714888532,34,293.566733751917,13.3994650790138
"Congo (Kinshasa)",682,34,80,2020-05-04,8,1,5,34,55,2679.65008107605,34,12911.8404204135,556.119369757587
"Cote d'Ivoire",1432,17,693,2020-05-04,34,0,40,34,55,2432.85812137454,34,12297.0785405452,481.317462454427
"Eswatini",116,1,12,2020-05-04,4,0,0,34,52,760.61612048582,34,3957.63231690952,146.182574937803
"Sao Tome and Principe",23,3,4,2020-05-04,7,2,0,34,29,NA,34,NA,NA
"Congo (Brazzaville)",236,10,26,2020-05-05,0,0,0,35,52,64.870462781586,35,303.818383076551,13.850962206052
"Congo (Kinshasa)",705,34,90,2020-05-05,23,0,10,35,56,2764.7295232553,35,13329.1110482741,573.461299037582
"Cote d'Ivoire",1464,18,701,2020-05-05,32,1,8,35,56,2510.10186798516,35,12694.481971535,496.326782123959
"Eswatini",119,1,12,2020-05-05,3,0,0,35,53,786.196108402235,35,4093.10770130789,151.011008254025
"Sao Tome and Principe",174,3,4,2020-05-05,151,0,0,35,30,NA,35,NA,NA
"Congo (Brazzaville)",264,10,30,2020-05-06,28,0,4,36,53,67.0520963246968,36,314.218518469614,14.3084616509361
"Congo (Kinshasa)",797,35,92,2020-05-06,92,1,2,36,57,2850.90413804882,36,13751.9829544477,591.016905072239
"Cote d'Ivoire",1516,18,721,2020-05-06,52,0,20,36,57,2588.33992337057,36,13097.2199913285,511.521037544579
"Eswatini",123,2,12,2020-05-06,4,1,0,36,54,812.124497860067,36,4230.50732165828,155.902389448161
"Sao Tome and Principe",174,3,4,2020-05-06,0,0,0,36,31,NA,36,NA,NA
"Congo (Brazzaville)",264,10,30,2020-05-07,0,0,0,37,54,69.2634438960638,37,324.766373054424,14.7719254774547
"Congo (Kinshasa)",863,36,103,2020-05-07,66,1,11,37,58,2938.16808845498,37,14180.4292907141,608.78493443554
