"","Est","Var","Country","Date","Upper","Lower"
"728",9.81204671416238,0.0723015200383537,"Mozambique",2020-12-27,9.95664975423909,9.66744367408567
"729",9.81801708481745,0.0723494268035617,"Mozambique",2020-12-28,9.96271593842458,9.67331823121033
"730",9.82393128279197,0.0734237237341476,"Mozambique",2020-12-29,9.97077873026027,9.67708383532368
"731",9.83119770708831,0.0743269441327729,"Mozambique",2020-12-30,9.97985159535386,9.68254381882276
"732",9.83620460496429,0.0775953455646802,"Mozambique",2020-12-31,9.99139529609365,9.68101391383493
"733",9.8407420089673,0.0779433744368229,"Mozambique",2021-01-01,9.99662875784094,9.68485526009365
"734",9.84848922840621,0.0791763525381573,"Mozambique",2021-01-02,10.0068419334825,9.6901365233299
"735",9.8528240615456,0.0798625121266337,"Mozambique",2021-01-03,10.0125490857989,9.69309903729234
"736",9.69288816001076,0.0589491624493453,"Namibia",2020-12-14,9.81078648490946,9.57498983511207
"737",9.69969604271553,0.0612375400532023,"Namibia",2020-12-15,9.82217112282193,9.57722096260913
"738",9.7096371595347,0.0618794196044853,"Namibia",2020-12-16,9.83339599874368,9.58587832032573
"739",9.71885042985843,0.0615683112302459,"Namibia",2020-12-17,9.84198705231893,9.59571380739794
"740",9.72397192300992,0.06385027472074,"Namibia",2020-12-18,9.8516724724514,9.59627137356844
"741",9.73286919893168,0.063681860508654,"Namibia",2020-12-19,9.86023291994899,9.60550547791437
"742",9.7384695058604,0.0652945709314772,"Namibia",2020-12-20,9.86905864772335,9.60788036399744
"743",9.74896159491508,0.0650342084203904,"Namibia",2020-12-21,9.87903001175586,9.6188931780743
"744",9.75553175224768,0.0682245162155772,"Namibia",2020-12-22,9.89198078467884,9.61908271981653
"745",9.76516227969473,0.0690045050150978,"Namibia",2020-12-23,9.90317128972493,9.62715326966453
"746",9.77323839636794,0.0683951660062652,"Namibia",2020-12-24,9.91002872838047,9.63644806435541
"747",9.77919180044368,0.0716309137687485,"Namibia",2020-12-25,9.92245362798118,9.63592997290619
"748",9.78888270355568,0.0714311205656254,"Namibia",2020-12-26,9.93174494468693,9.64602046242443
"749",9.79663293554269,0.0736518313489825,"Namibia",2020-12-27,9.94393659824066,9.64932927284473
"750",9.80404662163797,0.0737552844897893,"Namibia",2020-12-28,9.95155719061755,9.65653605265839
"751",9.81249176753376,0.0757510663173035,"Namibia",2020-12-29,9.96399390016837,9.66098963489916
"752",9.81884310957925,0.0762893436509949,"Namibia",2020-12-30,9.97142179688124,9.66626442227726
"753",9.82673261117603,0.0785712452164809,"Namibia",2020-12-31,9.98387510160899,9.66959012074307
"754",9.83556068966436,0.0785379597731594,"Namibia",2021-01-01,9.99263660921068,9.67848477011804
"755",9.84502608334225,0.0814504995448754,"Namibia",2021-01-02,10.007927082432,9.6821250842525
"756",9.8524348998129,0.0826941671659099,"Namibia",2021-01-03,10.0178232341447,9.68704656548108
"757",7.72539612941249,0.0604064857102348,"Niger",2020-12-14,7.84620910083296,7.60458315799203
"758",7.74859074114489,0.0602807438069327,"Niger",2020-12-15,7.86915222875876,7.62802925353103
"759",7.77359860565973,0.0603713018694999,"Niger",2020-12-16,7.89434120939873,7.65285600192073
"760",7.79789446746369,0.0622158049387272,"Niger",2020-12-17,7.92232607734115,7.67346285758624
"761",7.82210192092619,0.06231743532063,"Niger",2020-12-18,7.94673679156745,7.69746705028493
"762",7.8468661107299,0.0630809923568251,"Niger",2020-12-19,7.97302809544355,7.72070412601625
"763",7.86967740687458,0.0627923673181874,"Niger",2020-12-20,7.99526214151095,7.7440926722382
"764",7.89503064977331,0.0663427630245767,"Niger",2020-12-21,8.02771617582246,7.76234512372415
"765",7.91836973705037,0.0669690867687465,"Niger",2020-12-22,8.05230791058786,7.78443156351287
"766",7.94406933492183,0.0668079689107047,"Niger",2020-12-23,8.07768527274324,7.81045339710043
"767",7.96833627301117,0.0678226061599216,"Niger",2020-12-24,8.10398148533101,7.83269106069133
"768",7.99383256448866,0.069216357667148,"Niger",2020-12-25,8.13226527982295,7.85539984915436
"769",8.01539391402776,0.0702843186357811,"Niger",2020-12-26,8.15596255129932,7.8748252767562
"770",8.04112563375668,0.0704057853875192,"Niger",2020-12-27,8.18193720453172,7.90031406298164
"771",8.06631103966491,0.0725508599838363,"Niger",2020-12-28,8.21141275963258,7.92120931969724
"772",8.09111873351103,0.0750583170158832,"Niger",2020-12-29,8.24123536754279,7.94100209947926
"773",8.11508791105127,0.0761301273965666,"Niger",2020-12-30,8.26734816584441,7.96282765625814
"774",8.14010463380157,0.075335494991045,"Niger",2020-12-31,8.29077562378366,7.98943364381948
"775",8.16536409607074,0.0773692620579749,"Niger",2021-01-01,8.32010262018669,8.01062557195479
"776",8.18749210673525,0.0787622700569879,"Niger",2021-01-02,8.34501664684923,8.02996756662128
"777",8.21357403315375,0.078931299493674,"Niger",2021-01-03,8.37143663214109,8.0557114341664
"778",11.196382802169,0.0596839042270198,"Nigeria",2020-12-14,11.3157506106231,11.077014993715
"779",11.2026789484098,0.0602977224610918,"Nigeria",2020-12-15,11.323274393332,11.0820835034877
"780",11.2091471056618,0.0610330239452986,"Nigeria",2020-12-16,11.3312131535524,11.0870810577712
"781",11.2143237504083,0.0616365460459169,"Nigeria",2020-12-17,11.3375968425002,11.0910506583165
"782",11.2192191358753,0.0643283779452681,"Nigeria",2020-12-18,11.3478758917658,11.0905623799847
"783",11.2257554255455,0.064179295425064,"Nigeria",2020-12-19,11.3541140163957,11.0973968346954
"784",11.2304353877153,0.0647975845935017,"Nigeria",2020-12-20,11.3600305569023,11.1008402185283
"785",11.2370230549298,0.0654770995732419,"Nigeria",2020-12-21,11.3679772540762,11.1060688557833
"786",11.24249942558,0.0662310486897093,"Nigeria",2020-12-22,11.3749615229594,11.1100373282006
"787",11.2470767975846,0.0681892617721003,"Nigeria",2020-12-23,11.3834553211288,11.1106982740404
"788",11.253463976193,0.0682875914333427,"Nigeria",2020-12-24,11.3900391590597,11.1168887933264
"789",11.2575268273618,0.0701484781005522,"Nigeria",2020-12-25,11.3978237835629,11.1172298711607
"790",11.2643923838527,0.0699424682594403,"Nigeria",2020-12-26,11.4042773203716,11.1245074473338
"791",11.2684463044273,0.0717958815103003,"Nigeria",2020-12-27,11.4120380674479,11.1248545414067
"792",11.2750360046974,0.0734632796684282,"Nigeria",2020-12-28,11.4219625640343,11.1281094453606
"793",11.2792875403769,0.0734774294657008,"Nigeria",2020-12-29,11.4262423993084,11.1323326814455
"794",11.2841487390577,0.0749636551948633,"Nigeria",2020-12-30,11.4340760494474,11.134221428668
"795",11.2890421402153,0.078340657500949,"Nigeria",2020-12-31,11.4457234552172,11.1323608252134
"796",11.2943117110842,0.0789695037985155,"Nigeria",2021-01-01,11.4522507186812,11.1363727034872
"797",11.2998899592241,0.0802323228412102,"Nigeria",2021-01-02,11.4603546049065,11.1394253135417
"798",11.3048467862312,0.0813573980364193,"Nigeria",2021-01-03,11.467561582304,11.1421319901583
"799",8.78404201748832,0.0591713668484637,"Rwanda",2020-12-14,8.90238475118525,8.6656992837914
"800",8.78912262226592,0.0595939748180901,"Rwanda",2020-12-15,8.9083105719021,8.66993467262974
"801",8.79657639078649,0.0614425248513605,"Rwanda",2020-12-16,8.91946144048921,8.67369134108377
"802",8.80422035148607,0.061629759683296,"Rwanda",2020-12-17,8.92747987085266,8.68096083211948
"803",8.80991787925979,0.0623985390716044,"Rwanda",2020-12-18,8.934714957403,8.68512080111658
"804",8.81547827722426,0.0638239561912845,"Rwanda",2020-12-19,8.94312618960683,8.68783036484169
"805",8.82172113528575,0.0645153101347134,"Rwanda",2020-12-20,8.95075175555518,8.69269051501633
"806",8.82921864761927,0.064311838843854,"Rwanda",2020-12-21,8.95784232530698,8.70059496993157
"807",8.83556139353951,0.0677706520595267,"Rwanda",2020-12-22,8.97110269765857,8.70002008942046
"808",8.84187816596915,0.0677960337464929,"Rwanda",2020-12-23,8.97747023346213,8.70628609847616
"809",8.84934900664947,0.0694749571890505,"Rwanda",2020-12-24,8.98829892102757,8.71039909227137
"810",8.85604093300416,0.0709696770238217,"Rwanda",2020-12-25,8.9979802870518,8.71410157895652
"811",8.86208949149513,0.0711324143405977,"Rwanda",2020-12-26,9.00435432017632,8.71982466281393
"812",8.8678745673421,0.0727033755495545,"Rwanda",2020-12-27,9.01328131844121,8.72246781624299
"813",8.87350191397263,0.0752362490550735,"Rwanda",2020-12-28,9.02397441208278,8.72302941586248
"814",8.87986230112268,0.0752615359697059,"Rwanda",2020-12-29,9.03038537306209,8.72933922918326
"815",8.8880168672279,0.0770412834372713,"Rwanda",2020-12-30,9.04209943410244,8.73393430035336
"816",8.8933154677452,0.077647394489893,"Rwanda",2020-12-31,9.04861025672499,8.73802067876542
"817",8.9003574314088,0.0802547036254825,"Rwanda",2021-01-01,9.06086683865976,8.73984802415784
"818",8.90798382427347,0.0802819180969724,"Rwanda",2021-01-02,9.06854766046741,8.74741998807952
"819",8.91355025268749,0.0830625248102443,"Rwanda",2021-01-03,9.07967530230797,8.747425203067
"820",6.91844045207517,0.0604271235741898,"Sao Tome and Principe",2020-12-14,7.03929469922354,6.79758620492679
"821",6.91908476773912,0.0611608303786836,"Sao Tome and Principe",2020-12-15,7.04140642849649,6.79676310698175
"822",6.92080566127408,0.0616028259246258,"Sao Tome and Principe",2020-12-16,7.04401131312333,6.79760000942483
"823",6.92216188574141,0.0610839434118956,"Sao Tome and Principe",2020-12-17,7.04432977256521,6.79999399891762
"824",6.92173215604831,0.0627072283315794,"Sao Tome and Principe",2020-12-18,7.04714661271147,6.79631769938515
"825",6.92468172520691,0.0636612643165559,"Sao Tome and Principe",2020-12-19,7.05200425384002,6.79735919657379
"826",6.92722995735816,0.063436021499344,"Sao Tome and Principe",2020-12-20,7.05410200035685,6.80035791435947
"827",6.92777823251615,0.0640791812297543,"Sao Tome and Principe",2020-12-21,7.05593659497566,6.79961987005664
"828",6.92754965303708,0.0641631381328993,"Sao Tome and Principe",2020-12-22,7.05587592930288,6.79922337677129
"829",6.93080973150188,0.064344157169133,"Sao Tome and Principe",2020-12-23,7.05949804584015,6.80212141716362
"830",6.9323621035314,0.0656262575883617,"Sao Tome and Principe",2020-12-24,7.06361461870813,6.80110958835468
"831",6.93509347275013,0.0663362783105002,"Sao Tome and Principe",2020-12-25,7.06776602937113,6.80242091612913
"832",6.93517995520685,0.0654566220915427,"Sao Tome and Principe",2020-12-26,7.06609319938994,6.80426671102377
"833",6.93746157501018,0.0668414566063758,"Sao Tome and Principe",2020-12-27,7.07114448822293,6.80377866179742
"834",6.93714039239745,0.0660438544227045,"Sao Tome and Principe",2020-12-28,7.06922810124286,6.80505268355204
"835",6.94048890987957,0.0684214994125121,"Sao Tome and Principe",2020-12-29,7.0773319087046,6.80364591105455
"836",6.94153930537609,0.0688207012874784,"Sao Tome and Principe",2020-12-30,7.07918070795105,6.80389790280113
"837",6.94116888091766,0.069914749917658,"Sao Tome and Principe",2020-12-31,7.08099838075298,6.80133938108234
"838",6.94308012967015,0.0688761747601042,"Sao Tome and Principe",2021-01-01,7.08083247919036,6.80532778014994
"839",6.94431695732556,0.0717113115631179,"Sao Tome and Principe",2021-01-02,7.08773958045179,6.80089433419932
"840",6.94490828749144,0.0721545544856824,"Sao Tome and Principe",2021-01-03,7.0892173964628,6.80059917852007
"841",9.74510364769864,0.0592991283297019,"Senegal",2020-12-14,9.86370190435804,9.62650539103924
"842",9.74772047931485,0.0599346308933636,"Senegal",2020-12-15,9.86758974110158,9.62785121752812
"843",9.75220156761182,0.0596917909157055,"Senegal",2020-12-16,9.87158514944323,9.63281798578041
"844",9.75614159995568,0.0626177673399105,"Senegal",2020-12-17,9.8813771346355,9.63090606527586
"845",9.75969286978318,0.0630841772392131,"Senegal",2020-12-18,9.88586122426161,9.63352451530475
"846",9.76266922077084,0.0627339138409275,"Senegal",2020-12-19,9.88813704845269,9.63720139308899
"847",9.76943426211257,0.0637611185824099,"Senegal",2020-12-20,9.89695649927739,9.64191202494775
"848",9.77220982671772,0.0661607152514444,"Senegal",2020-12-21,9.90453125722061,9.63988839621483
"849",9.77586219277191,0.0664608736371645,"Senegal",2020-12-22,9.90878394004623,9.64294044549758
